"drange","dlat","dlon_neg","dlon","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"8","48.7889994444444","-122.971343611111","122.971343611111","13.3749749068131","1.52377848048487","1.52377848048487","13","19825","","Patos Island Light","FD","48-47-20.398N","122-58-16.837W","Fl W 6s","Night","52","8","","White square tower on building.","Red from 011.5?? to 059.5??, covers 6 fathom shoal.   Red from 097?? to 114??, covers Rosenfeld Rock.::",""
"8","48.783","-123.045833333333","123.045833333333","13.379819858908","1.52641365976716","1.52641365976716","13","19810","","Saturna Island Sector Light","FD","48-46-58.800N","123-02-45.000W","F R","Night","85","8","(C)","On red square skeleton tower.","Red light visible from 156?? to 211.5??.",""
"8","48.3849313888889","-124.59977","124.59977","13.3112806828612","2.08861280970026","2.08861280970026","13","16155","","Waadah Island Light","FD","48-23-05.753N","124-35-59.172W","Fl W 4s","Night","63","8","","NR on concrete tower.","",""
"7","47.1405194444444","-122.907269444444","122.907269444444","11.7353371589347","0.150778367782198","0.150778367782198","13","17400","","Dofflemyer Point Light","FD","47-08-25.870N","122-54-26.170W","Fl W 4s","Night","30","7","","On white concrete tower.","",""
"7","47.2616666666667","-122.436466666667","122.436466666667","11.7913190731489","0.396317462692327","0.396317462692327","13","17125","","Thea Foss Waterway Light","FD","47-15-42.000N","122-26-11.280W","Fl W 6s","Night","23","7","","On multi-pile structure.","",""
"7","47.513685","-122.47316","122.47316","12.0458923972218","0.433442901200372","0.433442901200372","13","17100","","Point Vashon Light","FD","47-30-49.266N","122-28-23.376W","Fl W 4s","Night","17","7","","NB on multi-pile structure.","",""
"7","47.6631894444444","-122.593606944444","122.593606944444","12.2088167341571","0.458837893315004","0.458837893315004","13","17965","","Battle Point Light","FD","47-39-47.482N","122-35-36.985W","Fl W 4s","Night","17","7","","NB on multi-pile structure.","",""
"7","48.0308583333333","-122.607045","122.607045","12.5753368121172","0.792123296989664","0.792123296989664","13","16505","","Bush Point Light","FD","48-01-51.090N","122-36-25.362W","Fl W 2.5s","Night","25","7","","White pyramidal building.","",""
"7","48.1016105555556","-122.687911666667","122.687911666667","12.6556314297117","0.84259195107727","0.84259195107727","13","16500","","Marrowstone Point Light","FD","48-06-05.798N","122-41-16.482W","Fl W 6s","Night","28","7","","White square structure.","",""
"7","48.4506416666667","-122.963335833333","122.963335833333","13.0389694309662","1.18631566684889","1.18631566684889","13","19555","","Cattle Point Light","FD","48-27-02.310N","122-57-48.009W","Fl W 4s","Night","94","7","","White octagonal tower, on building.","",""
"7","48.47794","-122.713545555556","122.713545555556","13.032174018574","1.2122612693352","1.2122612693352","13","19350","","Burrows Island Light","FD","48-28-40.584N","122-42-48.764W","Fl W 6s","Night","57","7","","White octagonal cupola with red roof, on building.","HORN: 2 blasts ev 30s (2s bl-2s si-2s bl-24s si).::HORN is activated by keying the mic 5 times on VHF-FM Channel 83A (157.175 MHz). HORN will operate for 30 minutes.",""
"7","48.4929863888889","-122.75269","122.75269","13.0520822987775","1.22405654580653","1.22405654580653","13","19395","","Belle Rock Sector Light","FD","48-29-34.751N","122-45-09.684W","Fl W 2.5s","Night","22","7","","NB on skeleton tower on steel cylindrical base.","Red sector visible 1.5?? either side of 175??.",""
"7","48.5244897222222","-122.788479166667","122.788479166667","13.0879685822237","1.25372345887808","1.25372345887808","13","19405","","Fauntleroy Point Light","FD","48-31-28.163N","122-47-18.525W","Fl W 4s","Night","37","7","","NB on skeleton tower.","",""
"7","48.4064444444444","-123.388","123.388","13.0637909673189","1.26348650721775","1.26348650721775","13","16260","","Brotchie Ledge Light","FD","48-24-23.200N","123-23-16.800W","Fl G 4s","Night","37","7","(C)","White cylindrical tower with green band at top.","",""
"7","48.5236944444444","-123.291861111111","123.291861111111","13.1626494893372","1.33369523252765","1.33369523252765","13","19705","","Zero Rock Light","FD","48-31-25.300N","123-17-30.700W","Fl W 4s","Night","28","7","(C)","White cylindrical tower with green band on top.","Ra ref.",""
"7","48.588555","-123.202001666667","123.202001666667","13.2118043329236","1.36781865324091","1.36781865324091","13","19720","","Kellett Bluff Light","FD","48-35-18.798N","123-12-07.206W","Fl W 4s","Night","80","7","","NB on skeleton tower.","",""
"7","48.5653611111111","-123.285027777778","123.285027777778","13.2025745223254","1.37061877668727","1.37061877668727","13","19715","","D'Arcy Island Light","FD","48-33-55.300N","123-17-06.100W","Fl R 4s","Night","26","7","(C)","White cyclindrical tower with red band at top.","Ra ref.",""
"7","48.3583611111111","-123.711472222222","123.711472222222","13.0778905778502","1.39766892491548","1.39766892491548","13","16210","","Whiffin Spit Light","FD","48-21-30.100N","123-42-41.300W","Q W","Night","22","7","(C)","White cylindrical tower with green band at top.","HORN: 1 blasts ev 30s (3s bl). Horn operated only on request to Victoria Coast Guard radio.",""
"7","48.6623333333333","-123.273777777778","123.273777777778","13.296318001733","1.45906689352241","1.45906689352241","13","19780","","Tom Point Sector Light","FD","48-39-44.400N","123-16-25.600W","Fl W 4s","Night","21","7","(C)","White cylindrical tower with green band at top.","Green from 171?? to 181??.",""
"7","48.6991944444444","-123.298666666667","123.298666666667","13.3368037982295","1.50178034931476","1.50178034931476","13","19795","","Point Fairfax Light","FD","48-41-57.100N","123-17-55.200W","Fl (3)W 12s","Night","29","7","(C)","White cylindrical tower.","Ra ref.",""
"7","48.7358333333333","-123.1825","123.1825","13.3540825826597","1.5054991361861","1.5054991361861","13","19800","","Gowlland Point Light","FD","48-44-09.000N","123-10-57.000W","Fl W 4s","Night","35","7","(C)","White cylindrical tower with green band at top.","Ra ref.",""
"7","48.8283333333333","-123.35","123.35","13.4727309611363","1.64049674054043","1.64049674054043","13","20325","","Portlock Point Light","FD","48-49-42.000N","123-21-00.000W","Q W","Night","51","7","(C)","White square tower.","Year round.",""
"7","48.85","-123.405","123.405","13.5034781852695","1.67901522266655","1.67901522266655","13","20335","","Peile Point Light","FD","48-51-00.000N","123-24-18.000W","Fl W 4s","Night","25","7","(C)","White circular tower.","",""
"7","48.915","-123.625","123.625","13.6070549918066","1.82448497608119","1.82448497608119","13","20380","","North Reef Light","FD","48-54-54.000N","123-37-30.000W","Fl (3)W 12s","Night","22","7","(C)","White circular tower.","",""
"6","47.1783577777778","-122.814321944444","122.814321944444","11.7585836440317","0.0949746247382136","0.0949746247382136","13","17370","","Johnson Point Light 5 ","FD","47-10-42.088N","122-48-51.559W","Fl G 6s","Night","22","6","","SG on multi-pile.","",""
"6","47.0920566666667","-122.920083611111","122.920083611111","11.6894914432124","0.199646624655318","0.199646624655318","13","17405","","Olympia Shoal Light","FD","47-05-31.404N","122-55-12.301W","Q W","Night","25","6","","NB on multi-pile structure.","",""
"6","47.3167666666667","-122.548116666667","122.548116666667","11.8594256910923","0.288115387940714","0.288115387940714","13","17215","","Point Defiance Light","FD","47-19-00.360N","122-32-53.220W","Fl W 6s","Night","21","6","","NG on multi-pile structure.","",""
"6","47.5651833333333","-122.532133333333","122.532133333333","12.1040132137763","0.420167049201726","0.420167049201726","13","18035","","Orchard Point Light","FD","47-33-54.660N","122-31-55.680W","Fl W 6s","Night","34","6","","On white concrete tower.","HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.",""
"6","47.5409363888889","-122.480913333333","122.480913333333","12.0738613490624","0.443055460876996","0.443055460876996","13","16955","","Blake Island East Light","FD","47-32-27.371N","122-28-51.288W","Fl W 4s","Night","18","6","","NB on skeleton tower.","",""
"6","47.7376633333333","-122.85222","122.85222","12.3174159084504","0.466528514831028","0.466528514831028","13","17875","","Pulali Point Light","FD","47-44-15.588N","122-51-07.992W","Fl W 4s","Night","35","6","","NG on tower.","",""
"6","47.6096172222222","-122.487577222222","122.487577222222","12.142850718178","0.4830896822782","0.4830896822782","13","16825","","Tyee Shoal Light","FD","47-36-34.622N","122-29-15.278W","Fl (2+1)R 6s","Night","15","6","","JR on multi-pile structure.","",""
"6","47.5759311111111","-122.451240833333","122.451240833333","12.1052021588429","0.487987959049585","0.487987959049585","13","16920","","Puget Sound Traffic Separation Lane Lighted Buoy T","FD","47-34-33.352N","122-27-04.467W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","47.3850991666667","-122.353457222222","122.353457222222","11.9047131813179","0.492474171306332","0.492474171306332","13","17075","","Puget Sound Traffic Separation Lane Lighted Buoy TB","FD","47-23-06.357N","122-21-12.446W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","47.6390108333333","-122.413489166667","122.413489166667","12.1636534266455","0.557437139529988","0.557437139529988","13","16810","","Fourmile Rock Light 1","FD","47-38-20.439N","122-24-48.561W","Fl G 6s","Night","15","6","","SG on skeleton tower on rock.","",""
"6","47.8148844444444","-122.48187","122.48187","12.3460895257362","0.646739574767306","0.646739574767306","13","16675","","Apple Cove Point Light","FD","47-48-53.584N","122-28-54.732W","Fl W 4s","Night","18","6","","NB on multi-pile structure.","",""
"6","47.9520577777778","-122.671028333333","122.671028333333","12.5051471637373","0.699444607994518","0.699444607994518","13","16515","17700","Colvos Rocks Light","FD","47-57-07.408N","122-40-15.702W","Fl W 4s","Night","34","6","","NB on skeleton tower.","",""
"6","47.9645366666667","-122.579595833333","122.579595833333","12.5061757645385","0.737752959092318","0.737752959092318","13","16530","","Puget Sound Traffic Separation Lane Lighted Buoy SD","FD","47-57-52.332N","122-34-46.545W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","47.9675030555556","-122.546271388889","122.546271388889","12.5051491700528","0.752579978769732","0.752579978769732","13","16520","","Double Bluff Light","FD","47-58-03.011N","122-32-46.577W","Fl W 4s","Night","60","6","","NG on skeleton tower.","",""
"6","48.0969675","-122.491499444444","122.491499444444","12.6274479834434","0.89314808990186","0.89314808990186","13","18620","","East Point Light 3 ","FD","48-05-49.083N","122-29-29.398W","Fl G 6s","Night","21","6","","SG on skeleton tower.","",""
"6","48.2059275","-123.1096225","123.1096225","12.8193237116578","0.974565712914473","0.974565712914473","13","16345","","Puget Sound Traffic Separation Lane Entrance Lighted Buoy S","FD","48-12-21.339N","123-06-34.641W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","48.2737061111111","-123.109623055556","123.109623055556","12.8862455855839","1.0397282687515","1.0397282687515","13","16340","","Rosario Strait Traffic Separation Lane Entrance Lighted Buoy R","FD","48-16-25.342N","123-06-34.643W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","48.3292638888889","-122.977398333333","122.977398333333","12.9209525547334","1.06757582567834","1.06757582567834","13","16370","","Rosario Strait Traffic Separation Lane Lighted Buoy RA","FD","48-19-45.350N","122-58-38.634W","Fl Y 2.5s","Night","","6","","Yellow.","","N ( - . )"
"6","48.408055","-122.656558333333","122.656558333333","12.9557569656987","1.15007266262054","1.15007266262054","13","18895","","Deception Pass Light 1 ","FD","48-24-28.998N","122-39-23.610W","Fl G 4s","Night","50","6","","SG on pole.","",""
"6","46.1572711111111","-123.254269722222","123.254269722222","10.8298213140454","1.19136905034227","1.19136905034227","13","10570","","Cooper Point Light 71 ","FD","46-09-26.176N","123-15-15.371W","Q G","Night","23","6","","SG on skeleton tower.","",""
"6","48.5097144444444","-122.683802222222","122.683802222222","13.0599929678082","1.24708560607415","1.24708560607415","13","18960","","Shannon Point Light","FD","48-30-34.972N","122-41-01.688W","Fl W 4s","Night","15","6","","NB on multi-pile structure.","HORN: 1 blast ev 30s (3s bl). ::HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.::Ra ref.",""
"6","48.5252266666667","-122.918896666667","122.918896666667","13.1064359024058","1.25664406716522","1.25664406716522","13","19560","","Fisherman Bay Sector Light","FD","48-31-30.816N","122-55-08.028W","Fl W 4s","Night","15","6","","NR on pile.","Red sector from 150?? to 076??.",""
"6","48.5531297222222","-122.854154166667","122.854154166667","13.1251158403726","1.28176493806265","1.28176493806265","13","19425","","Leo Reef Light","FD","48-33-11.267N","122-51-14.955W","Fl W 4s","Night","15","6","","NB on pyramidal wooden crib.","",""
"6","48.5689913888889","-122.844624166667","122.844624166667","13.1395420990154","1.29750154119273","1.29750154119273","13","19430","","Blakely Island Shoal Lighted Isolated Danger Buoy DS","FD","48-34-08.369N","122-50-40.647W","Fl (2)W 5s","Night","","6","","Black and red bands with two black spherical topmarks.","",""
"6","48.5975083333333","-122.804465","122.804465","13.162454326623","1.32626308693277","1.32626308693277","13","19470","","Obstruction Pass Light","FD","48-35-51.030N","122-48-16.074W","Fl W 4s","Night","23","6","","NR on skeleton tower.","",""
"6","48.5978","-123.015318333333","123.015318333333","13.1921449394634","1.33877407595361","1.33877407595361","13","19645","","Bird Rocks Light","FD","48-35-52.080N","123-00-55.146W","Fl W 4s","Night","15","6","","NB on platform, on multi-pile structure.","",""
"6","48.6335416666667","-123.106471666667","123.106471666667","13.2411937703759","1.38924699070811","1.38924699070811","13","19675","","Green Point Light","FD","48-38-00.750N","123-06-23.298W","Fl W 4s","Night","20","6","","NB on skeleton tower.","",""
"6","48.6760275","-122.713378611111","122.713378611111","13.2286874157041","1.40953871216979","1.40953871216979","13","19520","","Rosario Strait Traffic Separation Lane Lighted Buoy C","FD","48-40-33.699N","122-42-48.163W","Fl Y 2.5s","Night","","6","","Yellow.","","N ( - . )"
"6","48.7326977777778","-123.039177222222","123.039177222222","13.329086082264","1.47567489307389","1.47567489307389","13","19805","","Skipjack Island Light","FD","48-43-57.712N","123-02-21.038W","Fl W 4s","Night","18","6","","NB on skeleton tower.","Obscured from 261?? to 347??.",""
"6","48.7551066666667","-122.775184444444","122.775184444444","13.3149222096178","1.48467463548123","1.48467463548123","13","19535","","Rosario Strait Traffic Separation Lane Lighted Buoy CA","FD","48-45-18.384N","122-46-30.664W","Fl Y 2.5s","Night","","6","","Yellow.","","M ( - - )"
"6","48.6847777777778","-123.293694444444","123.293694444444","13.3217596492842","1.48653244871472","1.48653244871472","13","19785","","Arachne Reef Light","FD","48-41-05.200N","123-17-37.300W","Fl (2+1)G 6s","Night","19","6","(C)","White cyclindrical tower with green band at top.","Ra ref.",""
"6","46.2630280555556","-123.960816111111","123.960816111111","11.0960471549103","1.51322185483745","1.51322185483745","13","14525","","Chinook Channel Light 2 ","FD","46-15-46.901N","123-57-38.938W","Fl R 4s","Night","15","6","","TR on dolphin.","Higher intensity inbound. ::Ra ref.",""
"6","46.2692958333333","-124.039041666667","124.039041666667","11.1227070979316","1.5683933514878","1.5683933514878","13","9975","","Desdemona Sands Channel Leading Light","FD","46-16-09.465N","124-02-20.550W","Fl W 4s","Night","31","6","","Black and white vertical stripes on pile structure.","",""
"6","48.8616666666667","-123.311666666667","123.311666666667","13.4991740744489","1.66070266559115","1.66070266559115","13","20365","","Mary Anne Point Light","FD","48-51-42.000N","123-18-42.000W","Q W","Night","25","6","(C)","White circular tower with green band at top.","Ra ref.",""
"6","48.8583333333333","-123.343333333333","123.343333333333","13.5011771946846","1.66693834524102","1.66693834524102","13","20355","","Helen Point Light","FD","48-51-30.000N","123-20-36.000W","Q W","Night","23","6","(C)","White circular tower with red band at top.","",""
"6","48.9233333333333","-123.493333333333","123.493333333333","13.5911710549756","1.77901451094931","1.77901451094931","13","20420","","Walker Rock Light","FD","48-55-24.000N","123-29-36.000W","Fl (3)W 12s","Night","24","6","(C)","White circular tower.","Ra ref.::::::::Green Sector 082?? to 088??, white sector 088?? to 092??, red sector 092?? to 099??.",""
"6","48.94","-123.601666666667","123.601666666667","13.6272619841439","1.83714773559189","1.83714773559189","13","20410","","Grappler Rock Light","FD","48-56-24.000N","123-36-06.000W","Fl R 4s","Night","20","6","(C)","White circular tower, red band at top.","",""
"6","48.9466666666667","-123.595","123.595","13.6325776974799","1.84043292435695","1.84043292435695","13","20405","","Southey Point Light","FD","48-56-48.000N","123-35-42.000W","Q W","Night","20","6","(C)","White circular tower.","",""
"6","48.9583333333333","-123.675","123.675","13.6590601216858","1.88541503982292","1.88541503982292","13","20390","","Alarm Rock Light","FD","48-57-30.000N","123-40-30.000W","Fl (2)W 6s","Night","17","6","(C)","White circular tower.","Ra ref.",""
"6","48.9683333333333","-123.683333333333","123.683333333333","13.6704661801371","1.89808694922938","1.89808694922938","13","20395","","Preedy Harbor Light","FD","48-58-06.000N","123-41-00.000W","Q R","Night","17","6","(C)","White circular tower with red band at top.","Ra ref.",""
"6","48.9866666666667","-123.751666666667","123.751666666667","13.7016604481211","1.94581955659688","1.94581955659688","13","20400","","Coffin Island Light","FD","48-59-12.000N","123-45-06.000W","Fl W 4s","Night","19","6","(C)","White circular tower with green band at top.","Ra ref.",""
"5","47.1730905555556","-122.837492777778","122.837492777778","11.7568309082318","0.0985729359781827","0.0985729359781827","13","17390","","Itsami Ledge Light 7 ","FD","47-10-23.126N","122-50-14.974W","Fl G 4s","Night","20","5","","SG on multi-pile structure.","",""
"5","47.1902822222222","-122.698921111111","122.698921111111","11.7538525919617","0.15649280153468","0.15649280153468","13","17270","","Eagle Island Light 1 ","FD","47-11-25.016N","122-41-56.116W","Fl G 4s","Night","18","5","","SG on multi-pile structure.","",""
"5","47.1233286111111","-122.7","122.7","11.6876969924017","0.19891465219099","0.19891465219099","13","17355","","Lyle Point Light 2 ","FD","47-07-23.983N","122-42-00.000W","Fl R 4s","Night","15","5","","TR on multi-pile structure.","",""
"5","47.2184666666667","-122.60175","122.60175","11.7687453631881","0.236932900607845","0.236932900607845","13","17250","","Gibson Point Light 6 ","FD","47-13-06.480N","122-36-06.300W","Fl R 4s","Night","22","5","","TR on pile.","Light visible from 222?? to 055??.",""
"5","47.5655519444444","-122.613716944444","122.613716944444","12.1144883095303","0.36657411644124","0.36657411644124","13","18085","","Point Herron Light 12 ","FD","47-33-55.987N","122-36-49.381W","Fl R 6s","Night","24","5","","TR on multi-pile structure.","",""
"5","47.3248208333333","-122.456514166667","122.456514166667","11.8563750796203","0.379900980051458","0.379900980051458","13","17085","","Puget Sound Traffic Separation Lane Lighted Buoy TC","FD","47-19-29.355N","122-27-23.451W","Fl Y 2.5s","Night","","5","","Yellow.","",""
"5","47.5844725","-122.570349166667","122.570349166667","12.1278226037186","0.408327219473487","0.408327219473487","13","18080","","Waterman Point Light 11 ","FD","47-35-04.101N","122-34-13.257W","Fl G 4s","Night","26","5","","SG on skeleton tower, on caisson.","HORN: 1 blast ev 15s (2s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 15 minutes.",""
